positionOpenDate,positionTitle,appointmentType,maximumSalary,workSchedule,salaryType,state,clean_positionTitle,skill_set_0,skill_set_1,skill_set_2,year_month
2016-02-02,Physician (Medical Director GERI PACT),Permanent,234000.0,Full-time,Per Year,Alabama,physician medical geri pact,0.8638271772871631,0.06682084465934524,0.06935197805349184,2016-02
2016-04-30,Physician (Nephrologist),Permanent,240000.0,Full-time,Per Year,North Dakota,physician nephrologist,0.7670039445220771,0.11132964271736158,0.12166641276056127,2016-04
2016-02-29,Optometrist (ESEP/MP)(Open Cont),Permanent,111191.0,Full-time,Per Year,North Dakota,optometrist cont,0.1799582276029468,0.7086497154771549,0.11139205691989819,2016-02
2016-02-29,Optometrist (DEU)(Open Cont),Permanent,111191.0,Full-time,Per Year,North Dakota,optometrist cont,0.1799582276029468,0.7086497154771549,0.11139205691989819,2016-02
2016-01-29,Life Scientist / Environmental Engineer / Physical Scientist,Permanent,92316.0,Full-time,Per Year,Puerto Rico,life scientist environmental engineer physical scientist,0.23800058263064747,0.04772672445373812,0.7142726929156145,2016-01
2016-01-29,Life Scientist / Environmental Engineer / Physical Scientist,Permanent,92316.0,Full-time,Per Year,Puerto Rico,life scientist environmental engineer physical scientist,0.23800058263064747,0.04772672445373812,0.7142726929156145,2016-01
2015-06-01,Program Support Assistant,Term,56790.0,Full-time,Per Year,Virginia,support,0.17323246836464024,0.16675970462468687,0.660007827010673,2015-06
2016-01-29,"Pathways Student Intern-Law Clerk, CG-0999-07/09",Internships,104686.0,Part-time,Per Year,New York,student intern law clerk,0.06695118788612017,0.8525909127997285,0.08045789931415114,2016-01
2017-01-31,Optometrist,Permanent,160300.0,Full-time,Per Year,West Virginia,optometrist,0.16688075173901215,0.6662277964549287,0.16689145180605913,2017-01
2016-01-29,General Attorney (Civil Rights),Permanent,96538.0,Full-time,Per Year,Georgia,attorney civil rights,0.8327582531551843,0.08362367524720098,0.08361807159761468,2016-01
